date,open,high,close,low,volume,amount
2018-06-15,27.37,28.3,27.99,27.33,69819518.0,1951841871.0
2018-06-14,27.48,27.76,27.37,27.12,35760445.0,980418256.0
2018-06-13,27.41,28.25,27.64,27.31,60284357.0,1680583497.0
2018-06-12,27.57,27.83,27.71,27.23,49837248.0,1376048984.0
2018-06-11,26.74,27.73,27.31,26.68,52643679.0,1437705891.0
2018-06-08,27.1,27.18,26.71,26.55,38854508.0,1040501593.0
2018-06-07,27.07,27.64,27.39,26.95,59753575.0,1637918296.0
2018-06-06,27.3,27.54,26.99,26.85,50816253.0,1378427339.0
2018-06-05,27.29,27.77,27.49,26.84,60684137.0,1658473532.0
2018-06-04,26.3,27.38,27.3,26.28,78919077.0,2138820837.0
2018-06-01,25.39,26.46,26.0,25.3,52077082.0,1355014454.0
2018-05-31,24.77,25.68,25.59,24.56,70589325.0,1768260903.0
2018-05-30,25.21,25.21,24.64,24.58,54016882.0,1342440709.0
2018-05-29,26.3,26.37,25.6,25.34,55605235.0,1428341707.0
2018-05-28,26.39,26.82,26.5,26.3,25459499.0,676789913.0
2018-05-25,26.68,26.91,26.39,26.32,27000546.0,717574351.0
2018-05-24,26.8,26.85,26.65,26.52,24161093.0,643575798.0
2018-05-23,26.72,27.17,26.8,26.56,43317062.0,1164157878.0
2018-05-22,27.05,27.05,26.72,26.58,41546903.0,1111277324.0
2018-05-21,27.23,27.31,27.07,26.81,43244676.0,1167666221.0
2018-05-18,26.7,27.15,27.15,26.53,40722227.0,1092945215.0
2018-05-17,27.19,27.22,26.79,26.77,44562387.0,1199275701.0
2018-05-16,27.55,27.75,27.23,27.21,37323806.0,1020836430.0
2018-05-15,28.11,28.15,27.75,27.34,40506926.0,1120666814.0
2018-05-14,28.08,28.29,27.94,27.87,35083854.0,984200058.0
2018-05-11,28.1,28.19,27.94,27.73,31830373.0,889939606.0
2018-05-10,28.32,28.53,28.07,27.7,42963957.0,1204133432.0
2018-05-09,28.5,28.5,28.2,28.0,40903079.0,1152922298.0
2018-05-08,27.4,28.86,28.69,27.33,65581753.0,1857899322.0
2018-05-07,27.01,27.51,27.38,26.72,40845367.0,1110387754.0
2018-05-04,27.26,27.56,26.91,26.81,42538360.0,1154814763.0
2018-05-03,27.65,27.66,27.33,26.56,54241986.0,1466857436.0
2018-05-02,28.4,28.66,27.68,27.63,39717081.0,1111292763.0
2018-04-27,28.66,28.75,28.4,27.42,38195829.0,1071392412.0
2018-04-26,30.3,30.3,28.5,28.26,81226255.0,2348260646.0
2018-04-25,30.65,30.65,30.12,29.96,39768418.0,1199524614.0
2018-04-24,29.85,31.1,30.93,29.8,46983212.0,1447945430.0
2018-04-23,29.88,30.29,29.91,29.79,20171425.0,605310891.0
2018-04-20,30.18,30.5,30.15,29.92,25479546.0,769678456.0
2018-04-19,30.33,30.53,30.23,30.03,25627525.0,776421774.0
2018-04-18,30.29,30.69,30.04,29.74,32883533.0,989193213.0
2018-04-17,30.16,30.55,29.92,29.6,25819772.0,775976184.0
2018-04-16,31.2,31.23,30.03,29.56,52806865.0,1588112261.0
2018-04-13,32.16,32.24,31.25,31.03,35157261.0,1102968777.0
2018-04-12,32.57,32.86,31.85,31.75,33521999.0,1079000357.0
2018-04-11,32.15,33.24,32.61,31.73,48593043.0,1578103543.0
2018-04-10,31.52,32.18,32.18,31.06,47714543.0,1517032390.0
2018-04-09,32.7,32.76,31.62,30.96,47811940.0,1510647266.0
2018-04-04,32.3,33.95,32.8,32.1,58450965.0,1927433705.0
2018-04-03,33.2,34.1,33.64,32.52,43194571.0,1440337637.0
2018-04-02,33.65,34.47,33.49,33.32,53163565.0,1801173138.0
2018-03-30,33.7,33.99,33.29,33.17,57269205.0,1918089360.0
2018-03-29,31.54,34.46,34.16,31.03,99970072.0,3311802729.0
2018-03-28,30.51,32.15,31.33,30.3,42672897.0,1341512918.0
2018-03-27,30.89,31.87,31.02,30.71,57885391.0,1803144937.0
2018-03-26,30.76,30.79,30.33,29.9,33828896.0,1021310972.0
2018-03-23,30.02,31.07,31.07,29.21,50512539.0,1527314429.0
2018-03-22,31.8,31.88,31.18,31.04,23578708.0,739606988.0
2018-03-21,31.47,32.15,31.66,31.31,33172574.0,1055783631.0
2018-03-20,31.4,31.59,31.34,30.75,29011765.0,903296819.0
2018-03-19,32.57,32.58,31.58,31.52,36696749.0,1166386365.0
2018-03-16,32.58,33.35,32.63,32.5,33757215.0,1111490314.0
2018-03-15,32.5,33.1,32.66,32.41,25221534.0,825259606.0
2018-03-14,32.44,32.95,32.7,32.2,31583300.0,1031091877.0
2018-03-13,32.59,32.84,32.48,32.37,22092041.0,719093278.0
2018-03-12,33.54,33.68,32.62,32.35,60620829.0,1979204520.0
2018-03-09,33.87,33.91,33.46,33.34,32510239.0,1092069971.0
2018-03-08,33.4,33.74,33.64,32.85,35102254.0,1175142105.0
2018-03-07,33.44,33.92,32.9,32.8,38799255.0,1292495379.0
2018-03-06,32.35,33.71,33.67,32.01,58100806.0,1912870910.0
2018-03-05,32.49,33.15,32.18,32.07,37335438.0,1213151363.0
2018-03-02,32.0,32.73,32.28,31.51,32283849.0,1038873924.0
2018-03-01,32.17,33.09,32.41,32.02,33606432.0,1092337514.0
2018-02-28,32.51,33.23,32.7,31.84,50000447.0,1621987602.0
2018-02-27,34.2,34.28,32.9,32.65,50659814.0,1683177665.0
2018-02-26,35.07,35.1,34.18,33.11,54065501.0,1832518320.0
2018-02-23,33.9,35.1,34.72,33.33,38453890.0,1323487160.0
2018-02-22,34.0,34.05,33.7,33.33,30237326.0,1019234561.0
2018-02-14,32.87,33.32,33.17,32.17,27017550.0,884454424.0
2018-02-13,32.28,33.79,32.73,32.28,45466811.0,1500999450.0
2018-02-12,31.43,32.32,31.9,31.31,40765431.0,1297185206.0
2018-02-09,31.5,31.96,31.27,30.2,72494490.0,2259035363.0
2018-02-08,33.0,33.88,32.75,32.49,58080514.0,1920999545.0
2018-02-07,36.43,36.58,32.98,32.5,95212968.0,3283016480.0
2018-02-06,35.93,36.1,35.82,34.88,69983671.0,2489127586.0
2018-02-05,36.8,38.06,36.99,36.31,55263472.0,2046513931.0
2018-02-02,36.5,37.9,37.38,35.8,59679368.0,2208198825.0
2018-02-01,37.5,38.04,37.5,36.9,63542538.0,2380069195.0
2018-01-31,36.61,37.76,37.56,35.62,89814786.0,3297773290.0
2018-01-30,38.0,38.0,36.36,36.27,90823442.0,3355539693.0
2018-01-29,40.38,40.56,38.57,38.09,59786274.0,2338982474.0
2018-01-26,40.0,40.66,40.04,39.12,41006237.0,1640757701.0
2018-01-25,41.12,41.12,40.2,38.8,64806457.0,2577574871.0
2018-01-24,40.7,42.24,41.13,40.46,54262959.0,2236496975.0
2018-01-23,40.0,41.51,40.98,39.99,64865750.0,2653177560.0
2018-01-22,39.0,39.84,39.53,38.51,40652641.0,1597213093.0
2018-01-19,39.85,41.09,39.42,39.25,54875823.0,2207882771.0
2018-01-18,39.6,40.64,39.76,38.9,55884840.0,2226747476.0
2018-01-17,39.48,40.6,39.77,38.3,81219193.0,3199234880.0
2018-01-16,36.5,40.7,40.2,36.4,97846478.0,3763499499.0
2018-01-15,35.84,38.0,37.09,35.61,75718609.0,2784027859.0
2018-01-12,35.1,36.62,35.55,35.09,53701333.0,1927916472.0
2018-01-11,35.55,35.78,35.15,34.54,40248381.0,1411859649.0
2018-01-10,35.6,36.7,35.67,35.5,45369591.0,1633034914.0
2018-01-09,35.63,36.11,35.84,34.95,47845909.0,1700947894.0
2018-01-08,35.11,36.96,35.99,35.11,83078359.0,2994515872.0
2018-01-05,32.98,35.88,34.76,32.8,84310196.0,2916787872.0
2018-01-04,32.76,33.53,33.12,32.1,52908580.0,1740602533.0
2018-01-03,32.5,33.78,32.33,32.23,64687020.0,2130249691.0
2018-01-02,31.45,32.99,32.56,31.45,68343350.0,2218502767.0
2017-12-29,30.75,31.71,31.06,30.74,38530740.0,1204645832.0
2017-12-28,30.4,30.84,30.7,29.87,36731618.0,1117505169.0
2017-12-27,30.55,31.09,30.79,30.4,39548884.0,1218292968.0
2017-12-26,30.49,30.8,30.5,30.12,27884561.0,850307970.0
2017-12-25,30.3,31.33,30.37,30.27,50638257.0,1561915069.0
2017-12-22,29.6,30.2,29.85,29.57,34220642.0,1023085434.0
2017-12-21,28.72,30.19,29.72,28.63,59516386.0,1756898868.0
2017-12-20,29.09,29.1,28.6,28.52,32902669.0,943187282.0
2017-12-19,28.66,29.25,29.16,28.4,34008410.0,981540648.0
2017-12-18,29.11,29.26,28.46,28.04,42128694.0,1207131428.0
2017-12-15,30.12,30.12,29.11,29.1,39622918.0,1165712213.0
2017-12-14,29.94,30.37,30.11,29.85,38206777.0,1150698147.0
2017-12-13,29.57,30.1,29.94,29.35,33495394.0,998153483.0
2017-12-12,29.73,30.36,29.57,29.51,46763892.0,1401462694.0
2017-12-11,29.82,29.95,29.93,29.3,50213546.0,1487020650.0
2017-12-08,29.38,29.88,29.82,29.05,58818718.0,1731418640.0
2017-12-07,30.57,31.9,29.95,29.9,59000716.0,1807843249.0
2017-12-06,30.73,31.2,30.77,30.26,38979445.0,1197517724.0
2017-12-05,30.6,31.48,31.03,30.2,56430201.0,1747240922.0
2017-12-04,30.6,31.3,30.85,29.9,37989001.0,1160069277.0
2017-12-01,30.5,32.03,30.73,30.5,55743855.0,1733100369.0
2017-11-30,33.1,33.4,31.22,30.68,100066549.0,3213854405.0
2017-11-29,30.78,33.83,33.82,30.28,89771259.0,2894400950.0
2017-11-28,31.09,31.35,30.75,30.1,40578649.0,1243495707.0
2017-11-27,31.45,32.6,31.52,30.59,52158128.0,1640697007.0
2017-11-24,31.18,32.29,31.8,30.47,52434306.0,1653488218.0
2017-11-23,32.42,32.74,31.3,31.02,58032538.0,1851670288.0
2017-11-22,31.9,33.08,32.5,31.54,105296977.0,3398210521.0
2017-11-21,28.54,31.79,31.79,28.54,108178862.0,3289379109.0
2017-11-20,28.8,29.01,28.9,27.48,39508849.0,1118755733.0
2017-11-17,28.85,29.6,28.9,28.6,56394399.0,1639436318.0
2017-11-16,28.35,29.38,28.94,28.32,57443213.0,1663430808.0
2017-11-15,28.28,28.66,28.44,27.91,54107777.0,1532168877.0
2017-11-14,27.05,28.5,28.5,26.7,73582554.0,2042078588.0
2017-11-13,27.45,27.49,27.06,26.8,34714647.0,941038616.0
2017-11-10,27.6,27.83,27.51,27.36,30591274.0,841979145.0
2017-11-09,27.52,27.79,27.67,27.3,23412698.0,645092373.0
2017-11-08,27.75,28.14,27.64,27.41,39866130.0,1105269516.0
2017-11-07,27.36,27.95,27.85,27.3,37981814.0,1052691827.0
2017-11-06,28.2,28.27,27.46,26.95,50948509.0,1395554476.0
2017-11-03,29.23,29.52,28.19,28.05,45542848.0,1305014433.0
2017-11-02,29.3,29.48,29.45,28.68,36190648.0,1053595804.0
2017-11-01,28.96,30.54,29.15,28.73,62293118.0,1849006198.0
2017-10-31,28.8,29.28,28.96,28.28,46327775.0,1334576823.0
2017-10-30,27.5,29.0,28.98,27.41,67671106.0,1913212383.0
2017-10-27,27.7,28.28,27.5,27.26,44744384.0,1241370689.0
2017-10-26,27.3,27.88,27.53,26.91,42276685.0,1159749141.0
2017-10-25,27.01,28.0,27.43,26.86,44572742.0,1230082311.0
2017-10-24,25.81,27.2,27.0,25.81,50918797.0,1367035397.0
2017-10-23,26.17,26.2,25.93,25.77,19752720.0,512609826.0
2017-10-20,26.0,26.23,26.16,25.73,14591537.0,379610561.0
2017-10-19,26.44,26.57,26.05,26.01,20252556.0,532422122.0
2017-10-18,26.21,26.56,26.43,25.61,33405239.0,870086806.0
2017-10-17,26.32,26.52,26.21,26.14,18481106.0,485403638.0
2017-10-16,26.96,26.97,26.31,26.13,31500807.0,833062331.0
2017-10-13,27.2,27.58,26.93,26.81,32992803.0,894966611.0
2017-10-12,26.99,27.2,27.1,26.72,34897970.0,941856394.0
2017-10-11,26.69,27.27,26.87,26.47,42599739.0,1141669507.0
2017-10-10,26.4,26.69,26.59,26.19,36710128.0,970161610.0
2017-10-09,27.45,27.65,26.47,26.24,71173742.0,1923169658.0
2017-09-29,26.56,26.8,26.25,26.0,34575268.0,908847293.0
2017-09-28,27.0,27.15,26.41,26.4,26234700.0,699235160.0
2017-09-27,27.0,27.28,26.84,26.52,36753416.0,990737968.0
2017-09-26,26.12,27.22,26.76,26.1,59304456.0,1585098004.0
2017-09-25,27.2,27.2,26.12,26.1,72270258.0,1913322931.0
2017-09-22,28.39,28.67,27.81,27.52,42309310.0,1184003288.0
2017-09-21,28.5,29.06,28.4,27.75,53632402.0,1515969571.0
2017-09-20,28.5,29.55,28.73,28.0,61309575.0,1763105246.0
2017-09-19,28.27,30.1,28.77,28.1,119630850.0,3484566602.0
2017-09-18,29.01,29.74,28.04,27.99,106304307.0,3051116143.0
2017-09-15,27.5,30.22,29.3,27.47,155049561.0,4549589507.0
2017-09-14,25.78,28.06,27.56,25.55,115069614.0,3120331890.0
2017-09-13,25.3,26.05,25.76,24.99,46746377.0,1201265104.0
2017-09-12,25.03,25.47,25.26,24.82,44226163.0,1112832817.0
2017-09-11,25.61,26.39,25.28,25.03,58277340.0,1493511045.0
2017-09-08,25.9,26.28,25.79,25.16,79576775.0,2043297941.0
2017-09-07,23.96,26.18,25.97,23.96,127456991.0,3234474327.0
2017-09-06,23.79,24.27,23.8,23.5,36171963.0,865955697.0
2017-09-05,23.05,23.89,23.76,23.05,53979291.0,1279252921.0
2017-09-04,22.9,23.04,22.96,22.69,26828334.0,614727601.0
2017-09-01,23.26,23.37,22.88,22.74,40708029.0,933710130.0
2017-08-31,23.19,23.43,23.23,23.01,29889358.0,694243106.0
2017-08-30,23.52,23.58,23.24,23.23,33720217.0,789291579.0
2017-08-29,23.38,23.57,23.36,22.85,43661354.0,1015608551.0
2017-08-28,22.51,23.62,23.22,22.51,89847781.0,2154997909.0
2017-08-25,22.73,22.91,22.44,22.38,48389858.0,1131198661.0
2017-08-24,22.42,22.56,22.33,22.1,18048896.0,417300228.0
2017-08-23,22.49,22.54,22.48,22.17,22222118.0,514484895.0
2017-08-22,22.03,22.63,22.45,21.91,50412349.0,1167246978.0
2017-08-21,21.96,22.06,21.88,21.66,28783245.0,649571378.0
2017-08-18,21.16,22.2,22.07,21.1,55272480.0,1242948881.0
2017-08-17,21.18,21.25,21.2,21.01,19774876.0,433006766.0
2017-08-16,21.38,21.38,21.14,21.04,22956485.0,501790367.0
2017-08-15,21.27,21.45,21.3,21.14,24772245.0,544574594.0
2017-08-14,21.4,21.52,21.23,21.02,40087039.0,879296826.0
2017-08-11,21.86,21.95,21.3,21.28,34413096.0,768450897.0
2017-08-10,22.24,22.24,22.05,21.79,23930229.0,543681994.0
2017-08-09,22.05,22.32,22.2,21.97,24498395.0,561145593.0
2017-08-08,22.06,22.06,22.03,21.84,19158501.0,434919030.0
2017-08-07,22.07,22.3,21.97,21.94,23409149.0,533908530.0
2017-08-04,22.25,22.31,22.09,21.97,29612306.0,676533261.0
2017-08-03,22.81,22.81,22.35,22.04,45518939.0,1047661125.0
2017-08-02,22.68,23.33,22.81,22.66,35391017.0,841309696.0
2017-08-01,22.59,22.78,22.65,22.44,20952262.0,490486919.0
2017-07-31,22.75,22.81,22.61,22.34,30942482.0,721127920.0
2017-07-28,22.25,23.06,22.86,22.25,41250768.0,971981311.0
2017-07-27,22.68,22.86,22.25,22.19,42635128.0,991318780.0
2017-07-26,22.52,22.91,22.65,22.47,30715942.0,719797707.0
2017-07-25,22.83,22.96,22.5,22.46,36265480.0,849637919.0
2017-07-24,23.89,23.91,23.02,22.62,83526009.0,2000738201.0
2017-07-21,24.37,24.8,23.97,23.84,47766255.0,1195588636.0
2017-07-20,24.04,24.8,24.52,23.92,63367705.0,1598967701.0
2017-07-19,24.04,25.21,24.32,23.63,100807070.0,2526934175.0
2017-07-18,24.74,24.96,24.47,24.07,79183377.0,2004962442.0
2017-07-14,23.65,24.02,23.79,23.56,20179731.0,495832294.0
2017-07-13,24.1,24.52,23.63,23.6,83337031.0,2064324255.0
2017-07-12,24.86,25.83,24.63,24.39,99689518.0,2583415792.0
2017-07-11,23.48,24.28,23.94,23.36,47552025.0,1179893510.0
2017-07-10,23.6,24.55,23.63,23.43,60925194.0,1510229003.0
2017-07-07,23.48,24.27,23.85,23.24,58398256.0,1442448492.0
2017-07-06,23.51,23.85,23.43,23.17,47476922.0,1154892664.0
2017-07-05,23.16,23.84,23.74,22.66,74782798.0,1802258145.0
2017-07-04,23.77,24.11,23.08,22.75,74051874.0,1798526827.0
2017-07-03,23.95,24.38,23.77,23.56,45293799.0,1115270383.0
2017-06-30,24.18,24.56,24.15,23.83,59561483.0,1487556605.0
2017-06-29,24.34,24.59,24.34,23.76,70695831.0,1767701602.0
2017-06-28,24.55,25.04,24.18,23.97,94632009.0,2391062421.0
2017-06-27,25.16,25.18,24.7,24.35,119838030.0,3059693495.0
2017-06-26,24.12,25.61,25.61,23.75,171118298.0,4396209720.0
2017-06-23,21.13,23.28,23.28,21.09,125118677.0,2905465113.0
2017-06-22,20.41,21.57,21.16,20.41,71592906.0,1562559167.0
2017-06-21,20.65,20.73,20.35,20.22,19454251.0,411153771.0
2017-06-20,20.25,20.57,20.34,20.14,23675586.0,497795185.0
